key,value,valueType,unit,scope,isEnabled,applyMode,sourceSheet,sourceRange,sourceKey,precision,sourceHash,notes
fishing_manual_base_reward,1.3,float,contribution,fishing,TRUE,apply,08_ManualFishingEfficiency,,_baseReward,0.000001,,manual catch contribution base
fishing_auto_target_contribution,0.49,float,contribution,fishing,TRUE,validateOnly,08_ManualFishingEfficiency,,manualBase*autoPenalty,0.000001,,auto contribution target after penalty
fishing_auto_penalty,0.3769231,float,ratio,fishing,TRUE,apply,08_ManualFishingEfficiency,,_autoPenalty,0.0000001,,auto contribution divided by manual base
manual_multi_catch_common_chance,0.35,float,ratio,fishing,TRUE,apply,08_ManualFishingEfficiency,,_commonMultiCatchChance,0.000001,,manual multi catch chance common
manual_multi_catch_rare_chance,0.25,float,ratio,fishing,TRUE,apply,08_ManualFishingEfficiency,,_rareMultiCatchChance,0.000001,,manual multi catch chance rare
manual_multi_catch_epic_chance,0.15,float,ratio,fishing,TRUE,apply,08_ManualFishingEfficiency,,_epicMultiCatchChance,0.000001,,manual multi catch chance epic
manual_multi_catch_legendary_chance,0.05,float,ratio,fishing,TRUE,apply,08_ManualFishingEfficiency,,_legendaryMultiCatchChance,0.000001,,manual multi catch chance legendary
manual_multi_catch_count_min,2,int,count,fishing,TRUE,apply,08_ManualFishingEfficiency,,_multiCatchCountMin,1,,manual multi catch min count
manual_multi_catch_count_max,3,int,count,fishing,TRUE,apply,08_ManualFishingEfficiency,,_multiCatchCountMax,1,,manual multi catch max count
manual_boss_multi_catch_chance,0.10,float,ratio,fishing,TRUE,apply,08_ManualFishingEfficiency,,_bossMultiCatchChance,0.000001,,boss manual multi catch chance
manual_boss_multi_catch_multiplier,2,int,count,fishing,TRUE,apply,08_ManualFishingEfficiency,,_bossMultiCatchMultiplier,1,,boss manual multi catch multiplier
manual_minigame_fill_speed,0.35,float,fillPerSecond,minigame,TRUE,apply,07_MinigameDifficulty,,_fillSpeed,0.000001,,manual minigame fill speed
manual_minigame_drain_speed,0.3,float,drainPerSecond,minigame,TRUE,apply,07_MinigameDifficulty,,_drainSpeed,0.000001,,manual minigame drain speed
manual_minigame_fail_speed_base,0.04,float,failPerSecond,minigame,TRUE,apply,07_MinigameDifficulty,,_failSpeedBase,0.000001,,manual minigame fail speed base
manual_minigame_fail_speed_difficulty_scale,0.06,float,failPerSecond,minigame,TRUE,apply,07_MinigameDifficulty,,_failSpeedDifficultyScale,0.000001,,manual minigame fail speed difficulty scale
manual_minigame_fail_start_delay,2,float,seconds,minigame,TRUE,apply,07_MinigameDifficulty,,_failStartDelay,0.000001,,manual minigame fail start delay
manual_minigame_base_barrier_clicks,3,int,count,minigame,TRUE,apply,07_MinigameDifficulty,,_baseBarrierClicks,1,,manual minigame base barrier clicks
offline_reward_base_cap_hours,8,int,hours,offline,TRUE,apply,05_OfflineReward,,_baseMaxOfflineHours,1,,base offline cap before equipment bonus
offline_reward_fish_per_hour,3,int,fishPerHour,offline,TRUE,apply,05_OfflineReward,,_offlineRewardFishPerHour,1,,offline reward fish count per offline hour
offline_reward_target_min_ratio,0.4,float,ratio,offline,TRUE,validateOnly,05_OfflineReward,,targetMin,0.000001,,validation target lower bound
offline_reward_target_max_ratio,0.7,float,ratio,offline,TRUE,validateOnly,05_OfflineReward,,targetMax,0.000001,,validation target upper bound
minigame_target_success_common,0.93,float,ratio,minigame,TRUE,validateOnly,07_MinigameDifficulty,,targetSuccessCommon,0.000001,,target success rate common
minigame_target_success_rare,0.85,float,ratio,minigame,TRUE,validateOnly,07_MinigameDifficulty,,targetSuccessRare,0.000001,,target success rate rare
minigame_target_success_epic,0.72,float,ratio,minigame,TRUE,validateOnly,07_MinigameDifficulty,,targetSuccessEpic,0.000001,,target success rate epic
minigame_target_success_legendary,0.58,float,ratio,minigame,TRUE,validateOnly,07_MinigameDifficulty,,targetSuccessLegendary,0.000001,,target success rate legendary
