rewardId,itemId,conditionType,conditionValue,rewardCurrency,rewardAmount,rewardItemId,rewardItemCount,claimId,sortOrder,isEnabled,notes
codex_fish_anchovy_count_1,fish_anchovy,count,1,,0,ticket_basic,1,codex:fish:fish_anchovy:discovery,1001,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_anchovy_count_10,fish_anchovy,count,10,,0,ticket_basic,1,codex:fish:fish_anchovy:count10,1002,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_anchovy_count_100,fish_anchovy,count,100,,0,ticket_basic,1,codex:fish:fish_anchovy:count100,1003,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_mackerel_count_1,fish_mackerel,count,1,,0,ticket_basic,1,codex:fish:fish_mackerel:discovery,1101,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_mackerel_count_10,fish_mackerel,count,10,,0,ticket_basic,1,codex:fish:fish_mackerel:count10,1102,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_mackerel_count_100,fish_mackerel,count,100,,0,ticket_basic,1,codex:fish:fish_mackerel:count100,1103,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_flatfish_count_1,fish_flatfish,count,1,,0,ticket_basic,1,codex:fish:fish_flatfish:discovery,1201,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_flatfish_count_10,fish_flatfish,count,10,,0,ticket_basic,1,codex:fish:fish_flatfish:count10,1202,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_flatfish_count_100,fish_flatfish,count,100,,0,ticket_basic,1,codex:fish:fish_flatfish:count100,1203,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_hairtail_count_1,fish_hairtail,count,1,,0,ticket_basic,1,codex:fish:fish_hairtail:discovery,1301,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_hairtail_count_10,fish_hairtail,count,10,,0,ticket_basic,1,codex:fish:fish_hairtail:count10,1302,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_hairtail_count_100,fish_hairtail,count,100,,0,ticket_basic,1,codex:fish:fish_hairtail:count100,1303,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_saury_count_1,fish_saury,count,1,,0,ticket_basic,1,codex:fish:fish_saury:discovery,1401,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_saury_count_10,fish_saury,count,10,,0,ticket_basic,1,codex:fish:fish_saury:count10,1402,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_saury_count_100,fish_saury,count,100,,0,ticket_basic,1,codex:fish:fish_saury:count100,1403,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_squid_count_1,fish_squid,count,1,,0,ticket_basic,1,codex:fish:fish_squid:discovery,1501,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_squid_count_10,fish_squid,count,10,,0,ticket_basic,1,codex:fish:fish_squid:count10,1502,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_squid_count_100,fish_squid,count,100,,0,ticket_basic,1,codex:fish:fish_squid:count100,1503,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_pollock_count_1,fish_pollock,count,1,,0,ticket_basic,1,codex:fish:fish_pollock:discovery,1601,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_pollock_count_10,fish_pollock,count,10,,0,ticket_basic,1,codex:fish:fish_pollock:count10,1602,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_pollock_count_100,fish_pollock,count,100,,0,ticket_basic,1,codex:fish:fish_pollock:count100,1603,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_snapper_count_1,fish_snapper,count,1,,0,ticket_basic,1,codex:fish:fish_snapper:discovery,1701,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_snapper_count_10,fish_snapper,count,10,,0,ticket_basic,1,codex:fish:fish_snapper:count10,1702,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_snapper_count_100,fish_snapper,count,100,,0,ticket_basic,1,codex:fish:fish_snapper:count100,1703,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_bluefinTuna_count_1,fish_bluefinTuna,count,1,,0,ticket_basic,1,codex:fish:fish_bluefinTuna:discovery,1801,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_bluefinTuna_count_10,fish_bluefinTuna,count,10,,0,ticket_basic,1,codex:fish:fish_bluefinTuna:count10,1802,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_bluefinTuna_count_100,fish_bluefinTuna,count,100,,0,ticket_basic,1,codex:fish:fish_bluefinTuna:count100,1803,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_puffer_count_1,fish_puffer,count,1,,0,ticket_basic,1,codex:fish:fish_puffer:discovery,1901,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_puffer_count_10,fish_puffer,count,10,,0,ticket_basic,1,codex:fish:fish_puffer:count10,1902,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_puffer_count_100,fish_puffer,count,100,,0,ticket_basic,1,codex:fish:fish_puffer:count100,1903,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_rockfish_count_1,fish_rockfish,count,1,,0,ticket_basic,1,codex:fish:fish_rockfish:discovery,2001,TRUE,누적 획득 1회 티켓 보상입니다.
codex_fish_rockfish_count_10,fish_rockfish,count,10,,0,ticket_basic,1,codex:fish:fish_rockfish:count10,2002,TRUE,누적 획득 10회 티켓 보상입니다.
codex_fish_rockfish_count_100,fish_rockfish,count,100,,0,ticket_basic,1,codex:fish:fish_rockfish:count100,2003,TRUE,누적 획득 100회 티켓 보상입니다.
codex_fish_filefish_count_1,fish_filefish,count,1,,0,ticket_basic,1,codex:fish:fish_filefish:discovery,2101,TRUE,누적 획득 1회 티켓 보상입니다.
