stageId,fishId,spawnWeight,isEnabled,applyMode,sourceSheet,sourceRange,notes
1-1,fish_anchovy,8,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-1,fish_saury,7,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-1,fish_mackerel,6,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-2,fish_anchovy,6,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-2,fish_saury,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-2,fish_mackerel,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-2,fish_squid,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-3,fish_saury,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-3,fish_mackerel,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-3,fish_squid,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-3,fish_pollock,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-4,fish_mackerel,6,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-4,fish_squid,4,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-4,fish_pollock,4,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-4,fish_hairtail,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-4,fish_flatfish,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-4,fish_snapper,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-5,fish_mackerel,4,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-5,fish_hairtail,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-5,fish_flatfish,2,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-5,fish_snapper,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-5,fish_puffer,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
1-5,fish_bluefinTuna,1,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-1,fish_rockfish,8,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-1,fish_filefish,7,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-1,fish_croaker,6,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-2,fish_rockfish,6,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-2,fish_filefish,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-2,fish_croaker,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-2,fish_octopus,3,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
2-3,fish_filefish,5,TRUE,applyExisting,03_RarityEV_StageReward,,current StageData baseline
