legacyIntId,itemId,serverId,itemCategory,owner,isRuntimeLinked,isEnabled,notes
1001,fish_anchovy,fish_anchovy,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1002,fish_mackerel,fish_mackerel,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1003,fish_flatfish,fish_flatfish,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1004,fish_hairtail,fish_hairtail,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1005,fish_saury,fish_saury,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1006,fish_squid,fish_squid,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1007,fish_pollock,fish_pollock,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1008,fish_snapper,fish_snapper,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1009,fish_bluefinTuna,fish_bluefinTuna,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1010,fish_puffer,fish_puffer,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1011,fish_rockfish,fish_rockfish,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1012,fish_filefish,fish_filefish,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1013,fish_croaker,fish_croaker,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1014,fish_octopus,fish_octopus,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1015,fish_yellowtail,fish_yellowtail,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1016,fish_seabass,fish_seabass,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1017,fish_cuttlefish,fish_cuttlefish,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1018,fish_amberjack,fish_amberjack,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1019,fish_sunfish,fish_sunfish,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1020,fish_swordfish,fish_swordfish,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1021,fish_moray,fish_moray,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1022,fish_scorpionfish,fish_scorpionfish,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1023,fish_oarfish,fish_oarfish,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1024,fish_kingcrab,fish_kingcrab,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
1025,fish_deepseashrimp,fish_deepseashrimp,Fish,YWJ_PlayerData,FALSE,TRUE,현재 PlayFab 공통 ID 계약에 맞춘 itemId 매핑입니다.
